------------------------------------------------------------------------------------------------------------------------
                Term |                                                                     Documents it occurs in
               devic |                                                                                     {0, 9}
                gift |                                                                                    {0, 31}
               ignit |                                                                                    {1, 21}
                 bed |                                                                                    {16, 1}
                 via |                                                                                    {1, 35}
            helicopt |                                                                                    {32, 1}
               corps |                                                                                    {1, 26}
                burn |                                                                                    {1, 42}
              garden |                                                                                    {16, 1}
             basebal |                                                                                    {1, 47}
            reconsid |                                                                                     {1, 4}
                lake |                                                                                    {1, 31}
               cloth |                                                                                    {1, 46}
                grab |                                                                                    {1, 27}
               found |                                                                                     {2, 5}
                case |                                                                                    {2, 43}
               divid |                                                                                    {2, 46}
                hope |                                                                                     {2, 6}
             encount |                                                                                    {2, 44}
              strang |                                                                                    {2, 26}
                poor |                                                                                    {2, 23}
               thief |                                                                                    {2, 29}
              involv |                                                                                    {2, 20}
              guilti |                                                                                    {2, 36}
              modern |                                                                                    {16, 2}
              origin |                                                                                    {3, 44}
                hide |                                                                                    {32, 3}
                trip |                                                                                    {3, 31}
         temporarili |                                                                                    {3, 31}
             connect |                                                                                    {35, 3}
                huge |                                                                                    {34, 3}
             exchang |                                                                                    {17, 3}
               spend |                                                                                    {3, 13}
                vast |                                                                                    {32, 3}
              ritual |                                                                                    {3, 21}
            destruct |                                                                                    {41, 3}
              fellow |                                                                                    {3, 31}
                  be |                                                                                    {3, 23}
             christi |                                                                                    {43, 4}
             unknown |                                                                                    {4, 13}
               child |                                                                                    {4, 15}
                 max |                                                                                    {26, 4}
            signatur |                                                                                    {40, 4}
              attent |                                                                                    {4, 46}
               delay |                                                                                    {4, 13}
              flight |                                                                                     {9, 4}
            director |                                                                                    {43, 4}
                real |                                                                                    {18, 4}
                 yet |                                                                                    {4, 14}
             success |                                                                                    {34, 4}
                bond |                                                                                    {33, 4}
               estat |                                                                                    {48, 4}
              london |                                                                                    {4, 31}
                 sir |                                                                                    {10, 4}
            chairman |                                                                                     {9, 4}
                firm |                                                                                    {34, 4}
              dinner |                                                                                    {17, 4}
               expos |                                                                                    {43, 4}
             concern |                                                                                    {40, 4}
               might |                                                                                    {19, 4}
               owner |                                                                                    {4, 13}
              demand |                                                                                    {24, 5}
              expens |                                                                                    {13, 5}
              beaten |                                                                                    {42, 5}
                 ray |                                                                                    {5, 47}
               share |                                                                                    {19, 5}
          disappoint |                                                                                    {19, 5}
             conclud |                                                                                    {48, 5}
               stole |                                                                                    {49, 5}
               appar |                                                                                    {25, 5}
                gain |                                                                                    {37, 5}
                juli |                                                                                    {5, 22}
               heist |                                                                                    {33, 5}
             million |                                                                                    {33, 5}
                four |                                                                                    {45, 5}
               engag |                                                                                    {5, 46}
            shootout |                                                                                     {8, 5}
                luck |                                                                                    {6, 47}
                wish |                                                                                    {43, 6}
                pure |                                                                                    {46, 6}
               magic |                                                                                    {40, 6}
            midnight |                                                                                    {11, 6}
            suddenli |                                                                                    {12, 6}
              flower |                                                                                    {11, 6}
              parent |                                                                                    {6, 15}
            inadvert |                                                                                    {28, 6}
              stumbl |                                                                                    {32, 6}
               princ |                                                                                    {48, 6}
               royal |                                                                                    {6, 31}
              edward |                                                                                     {6, 7}
              period |                                                                                    {35, 6}
               coach |                                                                                    {19, 6}
              forgiv |                                                                                    {26, 6}
               build |                                                                                    {17, 6}
                 spi |                                                                                     {9, 7}
               major |                                                                                     {8, 7}
               charg |                                                                                    {29, 7}
               short |                                                                                    {34, 7}
              secret |                                                                                    {43, 7}
                nurs |                                                                                    {24, 7}
              former |                                                                                    {21, 7}
             contact |                                                                                     {9, 7}
             suspici |                                                                                    {49, 7}
                drag |                                                                                    {12, 7}
              sanjay |                                                                                    {8, 13}
             younger |                                                                                    {8, 41}
               could |                                                                                    {8, 48}
                boss |                                                                                    {8, 43}
              mumbai |                                                                                    {8, 37}
              player |                                                                                    {8, 47}
               rescu |                                                                                    {8, 25}
              public |                                                                                    {8, 16}
            behavior |                                                                                    {8, 46}
                root |                                                                                    {8, 46}
             horribl |                                                                                    {8, 12}
               cheat |                                                                                    {8, 43}
                pain |                                                                                    {8, 36}
              import |                                                                                    {8, 35}
          photograph |                                                                                    {8, 15}
                 wit |                                                                                    {8, 12}
           transport |                                                                                    {8, 39}
                 met |                                                                                    {8, 30}
               angri |                                                                                    {8, 15}
                ship |                                                                                    {9, 26}
               human |                                                                                    {9, 23}
              govern |                                                                                    {9, 30}
                land |                                                                                    {9, 39}
               blown |                                                                                    {9, 22}
               speed |                                                                                    {9, 12}
               seven |                                                                                    {9, 34}
           disappear |                                                                                    {32, 9}
              around |                                                                                   {10, 34}
               invit |                                                                                   {17, 10}
                lone |                                                                                   {10, 47}
             upstair |                                                                                   {25, 10}
               besid |                                                                                   {16, 10}
             predict |                                                                                   {10, 12}
                mask |                                                                                   {10, 11}
               sound |                                                                                   {10, 28}
               minut |                                                                                   {32, 10}
               knock |                                                                                   {25, 10}
                 run |                                                                                   {42, 11}
               jerri |                                                                                   {17, 11}
              affair |                                                                                   {35, 11}
                trap |                                                                                   {11, 22}
               locat |                                                                                   {11, 44}
                mari |                                                                                   {24, 11}
           blackmail |                                                                                   {33, 11}
             retriev |                                                                                   {17, 11}
              letter |                                                                                   {27, 11}
               tommi |                                                                                   {11, 28}
                clue |                                                                                   {11, 28}
              romant |                                                                                   {11, 20}
              design |                                                                                   {33, 11}
               ambul |                                                                                   {34, 12}
                lori |                                                                                   {40, 12}
               track |                                                                                   {43, 12}
               recov |                                                                                   {12, 20}
               panic |                                                                                   {12, 38}
              mechan |                                                                                   {12, 46}
                 tow |                                                                                   {35, 12}
               truck |                                                                                   {42, 12}
               debri |                                                                                   {43, 12}
               stray |                                                                                   {12, 47}
                tire |                                                                                   {25, 12}
               cross |                                                                                   {12, 31}
               chain |                                                                                   {12, 13}
              explod |                                                                                   {12, 21}
              strike |                                                                                   {12, 31}
             problem |                                                                                   {13, 47}
            argument |                                                                                   {13, 47}
                push |                                                                                   {43, 13}
               whole |                                                                                   {33, 13}
               incid |                                                                                   {13, 23}
                movi |                                                                                   {19, 13}
              narrat |                                                                                   {35, 13}
                loan |                                                                                   {49, 13}
                wake |                                                                                   {38, 14}
              bullet |                                                                                   {25, 14}
                 age |                                                                                   {21, 14}
                hatr |                                                                                   {41, 14}
                grew |                                                                                   {28, 14}
              leader |                                                                                   {18, 14}
               worri |                                                                                   {43, 15}
                mean |                                                                                   {36, 15}
               beach |                                                                                   {19, 15}
            birthday |                                                                                   {27, 15}
                idea |                                                                                   {16, 15}
                high |                                                                                   {49, 15}
              obtain |                                                                                   {44, 15}
                 box |                                                                                   {31, 15}
              depart |                                                                                   {36, 15}
               hotel |                                                                                   {16, 19}
              troubl |                                                                                   {16, 19}
                appl |                                                                                   {16, 44}
             disobey |                                                                                   {16, 27}
              author |                                                                                   {16, 35}
              fortun |                                                                                   {16, 47}
                 rob |                                                                                   {17, 33}
              releas |                                                                                   {17, 23}
               reput |                                                                                   {17, 35}
             possess |                                                                                   {17, 42}
       misunderstand |                                                                                   {17, 23}
                note |                                                                                   {18, 19}
                goon |                                                                                   {18, 26}
            maintain |                                                                                   {49, 18}
             audienc |                                                                                   {19, 31}
             financi |                                                                                   {19, 45}
                 pit |                                                                                   {49, 19}
              prompt |                                                                                   {19, 45}
           uncomfort |                                                                                   {19, 45}
               medic |                                                                                   {19, 30}
               peggi |                                                                                   {20, 22}
                nois |                                                                                   {20, 45}
                ring |                                                                                   {48, 20}
            reconcil |                                                                                   {20, 44}
               chanc |                                                                                   {20, 31}
        relationship |                                                                                   {20, 30}
            margaret |                                                                                   {20, 29}
              dagger |                                                                                   {26, 21}
          leadership |                                                                                   {21, 39}
               lover |                                                                                   {35, 21}
            sculptur |                                                                                   {21, 22}
             respons |                                                                                   {43, 21}
              mental |                                                                                   {26, 21}
             ancient |                                                                                   {26, 21}
             alreadi |                                                                                   {21, 22}
               hundr |                                                                                   {35, 21}
              matter |                                                                                   {35, 21}
                rush |                                                                                   {36, 21}
                king |                                                                                   {40, 21}
                paul |                                                                                   {40, 22}
                sell |                                                                                   {22, 30}
             resembl |                                                                                   {29, 22}
               chees |                                                                                   {44, 22}
                june |                                                                                   {45, 22}
           nightclub |                                                                                   {22, 30}
                seri |                                                                                   {41, 22}
                  wo |                                                                                   {36, 22}
               baker |                                                                                   {45, 23}
                good |                                                                                   {35, 23}
              social |                                                                                   {32, 23}
               brave |                                                                                   {44, 23}
               choos |                                                                                   {24, 49}
                pick |                                                                                   {24, 42}
                gate |                                                                                   {24, 25}
               treat |                                                                                   {24, 44}
                 ill |                                                                                   {24, 26}
              resist |                                                                                   {24, 48}
                pack |                                                                                   {25, 34}
                feed |                                                                                   {25, 28}
              bitten |                                                                                   {25, 44}
                doom |                                                                                   {40, 25}
             complet |                                                                                   {25, 26}
          distraught |                                                                                   {48, 25}
              suicid |                                                                                   {25, 36}
          understand |                                                                                   {26, 35}
              detect |                                                                                   {26, 43}
               month |                                                                                   {26, 45}
            brooklyn |                                                                                   {26, 47}
                full |                                                                                   {26, 37}
           inspector |                                                                                   {49, 26}
               green |                                                                                   {26, 34}
            interven |                                                                                   {26, 35}
              dislik |                                                                                   {27, 31}
                song |                                                                                   {35, 27}
                toni |                                                                                   {27, 31}
              cousin |                                                                                   {43, 27}
              nelson |                                                                                   {40, 27}
              orphan |                                                                                   {28, 29}
             earlier |                                                                                   {28, 36}
               spell |                                                                                   {43, 28}
               badli |                                                                                   {28, 39}
             sheriff |                                                                                   {42, 28}
              differ |                                                                                   {32, 29}
                twin |                                                                                   {34, 29}
             convinc |                                                                                   {35, 29}
            guardian |                                                                                   {29, 47}
             serious |                                                                                   {30, 39}
         underground |                                                                                   {48, 30}
                park |                                                                                   {38, 30}
               sport |                                                                                   {34, 31}
              enough |                                                                                   {44, 31}
             jewelri |                                                                                   {33, 31}
              realis |                                                                                   {32, 31}
               alway |                                                                                   {32, 34}
                date |                                                                                   {32, 35}
               greet |                                                                                   {32, 33}
                 sam |                                                                                   {33, 43}
                trio |                                                                                   {33, 43}
                bank |                                                                                   {33, 38}
             tension |                                                                                   {33, 41}
              physic |                                                                                   {33, 37}
              associ |                                                                                   {49, 34}
                jail |                                                                                   {40, 34}
              intent |                                                                                   {35, 44}
               elder |                                                                                   {41, 35}
              insult |                                                                                   {35, 45}
                 ago |                                                                                   {41, 35}
               clear |                                                                                   {35, 36}
             everyon |                                                                                   {49, 35}
             written |                                                                                   {35, 37}
                 mad |                                                                                   {43, 36}
                said |                                                                                   {36, 46}
                 aka |                                                                                   {49, 37}
              kidnap |                                                                                   {37, 47}
                gone |                                                                                   {43, 37}
               scene |                                                                                   {37, 38}
               river |                                                                                   {40, 38}
               manag |                                                                                   {47, 39}
               water |                                                                                   {44, 39}
              furiou |                                                                                   {40, 48}
             johnson |                                                                                   {40, 42}
                spot |                                                                                   {40, 44}
              banner |                                                                                   {40, 47}
              ground |                                                                                   {44, 46}
              fiancé |                                                                                   {45, 47}
                rich |                                                                                   {49, 45}
             unhappi |                                                                                   {45, 47}
                 big |                                                                                   {46, 47}
                 own |                                                                                   {49, 47}
              klaatu |                                                                                        {0}
             address |                                                                                        {0}
           barnhardt |                                                                                        {0}
             assembl |                                                                                        {0}
           scientist |                                                                                        {0}
              repres |                                                                                        {0}
      interplanetari |                                                                                        {0}
               organ |                                                                                        {0}
              invinc |                                                                                        {0}
               robot |                                                                                        {0}
                gort |                                                                                        {0}
                salv |                                                                                        {0}
                heal |                                                                                        {0}
            humanoid |                                                                                        {0}
               renni |                                                                                        {0}
             announc |                                                                                        {0}
                peac |                                                                                        {0}
           arlington |                                                                                        {0}
              nation |                                                                                        {0}
                morn |                                                                                        {0}
             boarder |                                                                                        {0}
              specul |                                                                                        {0}
               alien |                                                                                        {0}
               motiv |                                                                                        {0}
               helen |                                                                                        {0}
              benson |                                                                                        {0}
            patricia |                                                                                        {0}
                neal |                                                                                        {0}
               bobbi |                                                                                        {0}
                gray |                                                                                        {0}
              saucer |                                                                                        {0}
              silent |                                                                                        {0}
               unmov |                                                                                        {0}
              walter |                                                                                        {0}
                  en |                                                                                        {0}
                rout |                                                                                        {0}
              barada |                                                                                        {0}
               nikto |                                                                                        {0}
              presid |                                                                                        {0}
               enabl |                                                                                        {0}
              planet |                                                                                        {0}
              cropsi |                                                                                        {1}
                alfr |                                                                                        {1}
           mineshaft |                                                                                        {1}
                 pin |                                                                                        {1}
                wall |                                                                                        {1}
               shear |                                                                                        {1}
           blowtorch |                                                                                        {1}
                  ga |                                                                                        {1}
                tank |                                                                                        {1}
                camp |                                                                                        {1}
           blackfoot |                                                                                        {1}
              camper |                                                                                        {1}
                pull |                                                                                        {1}
               prank |                                                                                        {1}
             caretak |                                                                                        {1}
               skull |                                                                                        {1}
               candl |                                                                                        {1}
              socket |                                                                                        {1}
              michel |                                                                                        {1}
              entitl |                                                                                        {1}
            stonewat |                                                                                        {1}
           counselor |                                                                                        {1}
               tiger |                                                                                        {1}
                eddi |                                                                                        {1}
               upset |                                                                                        {1}
                todd |                                                                                        {1}
            question |                                                                                        {1}
                fish |                                                                                        {1}
           woodstock |                                                                                        {1}
               marin |                                                                                        {1}
             barbara |                                                                                        {1}
                cano |                                                                                        {1}
           makeshift |                                                                                        {1}
