------------------------------------------------------------------------------------------------------------------------
                Term |                                                                     Documents it occurs in
                lead |                                                            {7, 39, 40, 12, 18, 21, 24, 30}
             brother |                                                            {35, 38, 8, 41, 44, 14, 18, 30}
               woman |                                                           {32, 35, 10, 42, 15, 22, 24, 29}
              sister |                                                           {37, 38, 43, 45, 15, 23, 24, 29}
               bring |                                                           {37, 40, 41, 47, 49, 18, 21, 25}
                forc |                                                                  {0, 33, 5, 8, 42, 43, 23}
               visit |                                                                 {0, 6, 15, 16, 17, 48, 22}
               enter |                                                                {0, 40, 14, 15, 49, 21, 29}
              hospit |                                                                {0, 32, 36, 37, 12, 27, 28}
              happen |                                                                  {0, 32, 6, 8, 43, 29, 31}
               reach |                                                                 {32, 1, 39, 9, 18, 25, 26}
                away |                                                                 {1, 33, 7, 16, 18, 21, 30}
                soon |                                                                 {1, 36, 9, 16, 49, 26, 28}
                film |                                                                {2, 36, 37, 13, 45, 16, 18}
                need |                                                                {32, 2, 39, 12, 15, 49, 31}
               still |                                                                  {2, 4, 5, 12, 19, 23, 26}
               other |                                                                 {3, 35, 8, 13, 46, 21, 24}
                 new |                                                                 {3, 8, 45, 47, 19, 20, 26}
                work |                                                                 {34, 35, 4, 5, 40, 19, 28}
                show |                                                                {4, 37, 38, 41, 42, 11, 16}
               money |                                                                 {4, 37, 5, 40, 13, 49, 31}
               apart |                                                                {33, 5, 11, 21, 22, 26, 30}
                 die |                                                               {36, 41, 10, 45, 21, 24, 28}
               fight |                                                               {12, 46, 47, 49, 23, 24, 30}
                save |                                                               {12, 47, 18, 24, 25, 28, 30}
                left |                                                               {40, 15, 48, 22, 23, 27, 30}
               final |                                                               {32, 34, 41, 47, 48, 20, 23}
              eventu |                                                               {35, 48, 20, 22, 25, 29, 30}
               stand |                                                                     {0, 32, 8, 10, 12, 47}
             explain |                                                                    {0, 15, 16, 20, 22, 26}
                 set |                                                                    {1, 39, 11, 12, 45, 25}
             continu |                                                                      {1, 8, 9, 43, 14, 27}
              result |                                                                      {34, 3, 35, 6, 8, 30}
               group |                                                                      {33, 3, 5, 8, 12, 48}
               claim |                                                                     {35, 4, 9, 10, 11, 48}
                miss |                                                                    {34, 4, 43, 11, 44, 31}
               local |                                                                     {35, 5, 37, 8, 25, 28}
               break |                                                                    {33, 5, 12, 44, 22, 25}
              murder |                                                                     {5, 38, 8, 41, 42, 11}
               steal |                                                                    {33, 5, 38, 39, 22, 29}
               refus |                                                                     {39, 8, 7, 44, 16, 48}
                 let |                                                                    {7, 15, 22, 29, 30, 31}
                feel |                                                                    {32, 7, 14, 46, 19, 26}
               close |                                                                     {32, 8, 9, 40, 44, 29}
                 gun |                                                                    {33, 38, 8, 14, 48, 24}
                 due |                                                                    {9, 43, 45, 19, 23, 31}
              someth |                                                                   {32, 34, 35, 10, 46, 29}
                 hit |                                                                   {38, 11, 12, 19, 28, 30}
              though |                                                                   {37, 39, 44, 13, 23, 29}
               marri |                                                                   {36, 37, 40, 45, 16, 23}
                 ask |                                                                   {35, 43, 44, 48, 17, 22}
               notic |                                                                   {44, 48, 18, 19, 28, 29}
                like |                                                                         {0, 4, 46, 47, 29}
               wound |                                                                         {0, 39, 7, 29, 30}
               learn |                                                                        {0, 45, 15, 19, 31}
                next |                                                                          {0, 1, 5, 12, 26}
            meanwhil |                                                                         {0, 35, 4, 37, 42}
               taken |                                                                        {0, 33, 34, 24, 29}
                 way |                                                                        {1, 16, 49, 21, 22}
                lost |                                                                          {1, 36, 6, 9, 21}
               ultim |                                                                         {2, 3, 23, 24, 25}
               entir |                                                                         {2, 4, 17, 19, 21}
                head |                                                                        {3, 37, 38, 13, 30}
                uncl |                                                                        {4, 37, 48, 26, 27}
                fail |                                                                        {35, 4, 43, 44, 15}
                upon |                                                                         {34, 4, 6, 41, 31}
              beauti |                                                                         {35, 4, 6, 12, 21}
              arrest |                                                                         {5, 8, 17, 27, 31}
                flee |                                                                         {5, 7, 22, 25, 28}
              togeth |                                                                          {5, 6, 9, 14, 48}
              talent |                                                                        {34, 35, 6, 49, 31}
                rest |                                                                        {6, 40, 46, 21, 25}
                last |                                                                         {36, 6, 9, 21, 25}
                talk |                                                                        {32, 38, 6, 12, 22}
                fire |                                                                        {8, 42, 12, 25, 28}
               allow |                                                                         {8, 9, 42, 21, 28}
             pretend |                                                                        {32, 8, 11, 18, 19}
